page,locale,url,title,description,og:title,og:description,og:image,og:type,og:url,twitter:card,twitter:title,twitter:description,twitter:image
/,en,https://climatehub.org/,ClimateHub Network,,Global Platform for Climate Change Solutions | ClimateHub Network,,https://climatehub.org/images/landing_image_small.jpg,website,,,,,
/,de,https://climatehub.org/de/,ClimateHub Netzwerk,,Globale Plattform für Klimaschutz | ClimateHub Netzwerk,,https://climatehub.org/images/landing_image_small.jpg,website,,,,,
/about,en,https://climatehub.org/about,About | ClimateHub Network,"Whether it's community energy, climate-friendly canteen design or self-organized cargo bike rental, local climate initiatives are driving a lot of change in their city. With our ClimateHubs, we promote this and make it very easy to implement your own climate ideas, become active yourself and bring effective local projects to other cities.",About us,"Whether it's community energy, climate-friendly canteen design or self-organized cargo bike rental, local climate initiatives are driving a lot of change in their city. With our ClimateHubs, we promote this and make it very easy to implement your own climate ideas, become active yourself and bring effective local projects to other cities.",https://climatehub.org/images/landing_image_small.jpg,website,,summary_large_image,About us,"Whether it's community energy, climate-friendly canteen design or self-organized cargo bike rental, local climate initiatives are driving a lot of change in their city. With our ClimateHubs, we promote this and make it very easy to implement your own climate ideas, become active yourself and bring effective local projects to other cities.",
/about,de,https://climatehub.org/de/about,Über uns | ClimateHub Netzwerk,"Ob Bürgerenergie, klimafreundliche Gestaltung der Mensa oder selbstorganisierter Lastenradverleih: Lokale Klimainitiativen stoßen in ihrer Stadt viel Veränderung an. Mit unseren ClimateHubs fördern wir das und machen es ganz einfach, eigene Klimaideen umzusetzen, selbst aktiv zu werden und wirkungsvolle lokale Projekte auch in andere Städte zu bringen.",Über uns | ClimateHub Netzwerk,"Ob Bürgerenergie, klimafreundliche Gestaltung der Mensa oder selbstorganisierter Lastenradverleih: Lokale Klimainitiativen stoßen in ihrer Stadt viel Veränderung an. Mit unseren ClimateHubs fördern wir das und machen es ganz einfach, eigene Klimaideen umzusetzen, selbst aktiv zu werden und wirkungsvolle lokale Projekte auch in andere Städte zu bringen.",https://climatehub.org/images/landing_image_small.jpg,website,,summary_large_image,Über uns | ClimateHub Netzwerk,"Ob Bürgerenergie, klimafreundliche Gestaltung der Mensa oder selbstorganisierter Lastenradverleih: Lokale Klimainitiativen stoßen in ihrer Stadt viel Veränderung an. Mit unseren ClimateHubs fördern wir das und machen es ganz einfach, eigene Klimaideen umzusetzen, selbst aktiv zu werden und wirkungsvolle lokale Projekte auch in andere Städte zu bringen.",
/browse,en,https://climatehub.org/browse,ClimateHub Network,,Global Platform for Climate Change Solutions | ClimateHub Network,,https://climatehub.org/images/landing_image_small.jpg,website,,,,,
/browse,de,https://climatehub.org/de/browse,ClimateHub Netzwerk,,Globale Plattform für Klimaschutz | ClimateHub Netzwerk,,https://climatehub.org/images/landing_image_small.jpg,website,,,,,
/blog,en,https://climatehub.org/blog,Blog | ClimateHub Network,,Blog en,,https://climatehub.org/images/landing_image_small.jpg,website,,,Blog en,,
/blog,de,https://climatehub.org/de/blog,Blog | ClimateHub Netzwerk,,Blog de,,https://climatehub.org/images/landing_image_small.jpg,website,,,Blog de,,
/climatehubs,en,https://climatehub.org/climatehubs,ClimateHub Network,"Gemeinsam für den Klimaschutz: Findet jetzt heraus, wie ihr einen ClimateHub in eure Stadt bekommt.",ClimateHub in deiner Stadt | ClimateHub Netzwerk,"Gemeinsam für den Klimaschutz: Findet jetzt heraus, wie ihr einen ClimateHub in eure Stadt bekommt.",https://climatehub.org/images/landing_image_small.jpg,website,,summary_large_image,ClimateHub in deiner Stadt | ClimateHub Netzwerk,"Gemeinsam für den Klimaschutz: Findet jetzt heraus, wie ihr einen ClimateHub in eure Stadt bekommt.",
/climatehubs,de,https://climatehub.org/de/climatehubs,ClimateHub Netzwerk,"Gemeinsam für den Klimaschutz: Findet jetzt heraus, wie ihr einen ClimateHub in eure Stadt bekommt.",ClimateHub in deiner Stadt | ClimateHub Netzwerk,"Gemeinsam für den Klimaschutz: Findet jetzt heraus, wie ihr einen ClimateHub in eure Stadt bekommt.",https://climatehub.org/images/landing_image_small.jpg,website,,summary_large_image,ClimateHub in deiner Stadt | ClimateHub Netzwerk,"Gemeinsam für den Klimaschutz: Findet jetzt heraus, wie ihr einen ClimateHub in eure Stadt bekommt.",
